config_id,category,scenario_count,mean_top10_score_mean,mean_top10_score_median,mean_top10_score_sd,mean_top1_top10_score_gap,mean_candidate_score_mean,mean_candidate_score_median,mean_candidate_score_sd,mean_candidate_score_p10,mean_candidate_score_p90,mean_candidate_score_p90_p10_gap,mean_candidate_fraction_at_least_095,mean_fixed_reference_history_match,mean_artist_hhi,mean_artist_max_share,mean_genre_hhi,mean_genre_max_share,mean_latency_median_ms,mean_top10_overlap_count,mean_top10_jaccard,mean_mean_absolute_rank_change_common,mean_top1_changed
equal_cosine,transition_conflicting_history,4,0.9858512962814343,0.9849084153020329,0.003571535737145434,0.011082874652788233,0.8942425875564816,0.9144533810153347,0.08134696347988873,0.8068922442557228,0.9670127616043885,0.16012051734866575,0.244,0.8784885668104359,0.10000000000000002,0.1,0.12250000000000003,0.21250000000000002,4.037874983623624,8.75,0.7878787878787878,1.5645833333333332,1
equal_euclidean,all_history,17,0.9136210445415494,0.9111096642111093,0.010625010286532299,0.03382218662702594,0.7558810496166727,0.7722674866857573,0.09782665262895897,0.6234101342025432,0.8655229500244586,0.24211281582191538,0.00011764705882352942,0.9136210445415494,0.10117647058823531,0.10588235294117648,0.1060294117647059,0.1585294117647059,2.8049588230822016,4.117647058823529,0.2692267110861174,3.0726890756302523,0.7647058823529411
equal_euclidean,coherent_multi_track_history,9,0.9269986298911556,0.9253603520547506,0.007715388525755084,0.023838677523921534,0.7760198327494156,0.803069980906984,0.10696498986441048,0.6236999584793842,0.885404064830418,0.2617041063510337,0.0,0.9269986298911556,0.10000000000000002,0.1,0.09546296296296297,0.1361111111111111,2.7648555567591555,3.4444444444444446,0.21481672591063716,3.412962962962963,0.6666666666666666
equal_euclidean,single_track_history,4,0.8926982380431456,0.8895921379534822,0.01326887884360493,0.042518641495021436,0.7031193696328208,0.7032837040458898,0.0985077485421286,0.5828980006474811,0.831791607925142,0.24889360727766088,0.0,0.8926982380431456,0.10500000000000002,0.125,0.11708333333333334,0.1925,2.9678499995497987,5.25,0.36378205128205127,2.7714285714285714,1
equal_euclidean,transition_conflicting_history,4,0.904444284003339,0.9005631428205432,0.014527790691208397,0.04758862724101537,0.763330467551853,0.7719456573278644,0.07658429793602345,0.663270163134713,0.8545217838103667,0.19125162067565366,0.0005,0.904444284003339,0.10000000000000002,0.1,0.11875000000000002,0.175,2.7322999958414584,4.5,0.297093837535014,2.6083333333333334,0.75
literature_cosine,all_history,17,0.9923712787656022,0.9920329082726903,0.00179184516708171,0.005640798585761569,0.9031107397000014,0.9286024400887785,0.09713407895180143,0.8130905780725957,0.9766961696462513,0.16360559157365565,0.3943529411764706,0.8981650010612353,0.10705882352941179,0.12941176470588237,0.11637254901960786,0.18529411764705883,4.021247064776937,5.9411764705882355,0.43577385705413385,2.179271708683473,0.5882352941176471
literature_cosine,coherent_multi_track_history,9,0.9952784072547071,0.9950527634943279,0.0011745328829540337,0.0035649044534947403,0.9152802307300167,0.9508528003786578,0.10828529181905058,0.8115388678058322,0.9864292779423883,0.1748904101365561,0.5097777777777778,0.9115896273295155,0.11111111111111113,0.14444444444444446,0.10462962962962964,0.16111111111111112,3.9690333457353213,5.555555555555555,0.3891941391941392,2.2862433862433864,0.4444444444444444
literature_cosine,single_track_history,4,0.9863474465522397,0.9855483787095592,0.0033082981143098627,0.010488578543985938,0.8603332154472798,0.8684782914891392,0.08901542147974328,0.771522083384536,0.954016753974257,0.18249467058972108,0.1465,0.883451838628342,0.10500000000000002,0.125,0.14166666666666666,0.2375,4.052674994454719,5.75,0.4287330316742081,2.2845238095238094,0.75
literature_cosine,transition_conflicting_history,4,0.9918540718784788,0.991722763587137,0.0016643448591408287,0.0054637804251375655,0.9185069091351885,0.9386632780361892,0.080162507472549,0.8581504208608731,0.9774760916519373,0.11932567079106415,0.3825,0.882672754390498,0.10000000000000002,0.1,0.11750000000000002,0.1875,4.107300002942793,7,0.5476190476190476,1.8333333333333333,0.75
literature_euclidean,all_history,17,0.9307448752579266,0.9284468627261825,0.00876006635229626,0.028110875914925306,0.7941693409955516,0.8060470440164128,0.0862593521478455,0.6997095616392205,0.8857017312215698,0.18599216958234935,0.002,0.9074879587247353,0.1023529411764706,0.11176470588235295,0.10789215686274511,0.16519607843137254,2.765211762915201,3.5294117647058822,0.2263108863454884,2.657886904761905,0.8823529411764706
