variant,algorithm,category,metric,baseline,variant_value,delta_variant_minus_baseline
euclidean_relevance,cbf,single_track_history,intra_list_diversity,0.125857,0.115491,-0.010366
euclidean_relevance,cbf,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
euclidean_relevance,cbf,transition_conflicting_history,history_match,0.861646,0.877899,0.016253
euclidean_relevance,cbf,transition_conflicting_history,mood_match,0.716463,0.662189,-0.054274
euclidean_relevance,cbf,transition_conflicting_history,intra_list_diversity,0.125536,0.111217,-0.014319
euclidean_relevance,cbf,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
euclidean_relevance,context_mmr,coherent_multi_track_history,history_match,0.905474,0.922237,0.016763
euclidean_relevance,context_mmr,coherent_multi_track_history,intra_list_diversity,0.11619,0.101329,-0.014861
euclidean_relevance,context_mmr,coherent_multi_track_history,distinct_artist_fraction,0.988889,1.0,0.011111
euclidean_relevance,context_mmr,mood_only,mood_match,0.953568,0.953568,0.0
euclidean_relevance,context_mmr,mood_only,intra_list_diversity,0.229248,0.229248,0.0
euclidean_relevance,context_mmr,mood_only,distinct_artist_fraction,1.0,1.0,0.0
euclidean_relevance,context_mmr,single_track_history,history_match,0.876336,0.887826,0.01149
euclidean_relevance,context_mmr,single_track_history,intra_list_diversity,0.131985,0.123821,-0.008164
euclidean_relevance,context_mmr,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
euclidean_relevance,context_mmr,transition_conflicting_history,history_match,0.830368,0.877573,0.047205
euclidean_relevance,context_mmr,transition_conflicting_history,mood_match,0.925914,0.866668,-0.059246
euclidean_relevance,context_mmr,transition_conflicting_history,intra_list_diversity,0.154974,0.113435,-0.041539
euclidean_relevance,context_mmr,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
equal_history_mood_ratio,cbf,coherent_multi_track_history,history_match,0.903682,0.903682,0.0
equal_history_mood_ratio,cbf,coherent_multi_track_history,intra_list_diversity,0.117602,0.117602,0.0
equal_history_mood_ratio,cbf,coherent_multi_track_history,distinct_artist_fraction,0.988889,0.988889,0.0
equal_history_mood_ratio,cbf,single_track_history,history_match,0.876193,0.876193,0.0
equal_history_mood_ratio,cbf,single_track_history,intra_list_diversity,0.125857,0.125857,0.0
equal_history_mood_ratio,cbf,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
equal_history_mood_ratio,cbf,transition_conflicting_history,history_match,0.861646,0.861646,0.0
equal_history_mood_ratio,cbf,transition_conflicting_history,mood_match,0.716463,0.716463,0.0
equal_history_mood_ratio,cbf,transition_conflicting_history,intra_list_diversity,0.125536,0.125536,0.0
equal_history_mood_ratio,cbf,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
equal_history_mood_ratio,context_mmr,coherent_multi_track_history,history_match,0.905474,0.905474,0.0
equal_history_mood_ratio,context_mmr,coherent_multi_track_history,intra_list_diversity,0.11619,0.11619,0.0
equal_history_mood_ratio,context_mmr,coherent_multi_track_history,distinct_artist_fraction,0.988889,0.988889,0.0
equal_history_mood_ratio,context_mmr,mood_only,mood_match,0.953568,0.953568,0.0
equal_history_mood_ratio,context_mmr,mood_only,intra_list_diversity,0.229248,0.229248,0.0
equal_history_mood_ratio,context_mmr,mood_only,distinct_artist_fraction,1.0,1.0,0.0
equal_history_mood_ratio,context_mmr,single_track_history,history_match,0.876336,0.876336,0.0
equal_history_mood_ratio,context_mmr,single_track_history,intra_list_diversity,0.131985,0.131985,0.0
equal_history_mood_ratio,context_mmr,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
equal_history_mood_ratio,context_mmr,transition_conflicting_history,history_match,0.830368,0.818372,-0.011996
equal_history_mood_ratio,context_mmr,transition_conflicting_history,mood_match,0.925914,0.940557,0.014643
equal_history_mood_ratio,context_mmr,transition_conflicting_history,intra_list_diversity,0.154974,0.172626,0.017652
equal_history_mood_ratio,context_mmr,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
