study,config_id,run_count,scenario_count,pool_coverage,mean_history_match,sd_history_match,mean_mood_match,sd_mood_match,mean_intra_list_diversity,sd_intra_list_diversity,mean_artist_diversity,sd_artist_diversity,mean_artist_metadata_coverage,sd_artist_metadata_coverage,mean_mean_relevance,sd_mean_relevance,mean_processing_ms,sd_processing_ms,category
mmr,mmr_0,4,4,0.078,0.8657799437039304,0.02447654108713393,0.9318564182770339,0.03699911229226633,0.14989595307204406,0.0247242142775977,1.0,0.0,0.15000000000000002,0.05,0.9613674999999999,0.018970663371374222,38.59925,0.5359012852195806,coherent_history
mmr,mmr_0,4,4,0.076,,,0.9488847164122454,0.02094498244143625,0.24898473863741888,0.0307460418142382,1.0,0.0,0.15000000000000002,0.05,0.9488875,0.020948205621245927,33.54725,0.5758977231245137,mood_only
mmr,mmr_0,4,4,0.064,0.716256888152031,0.046295294698725786,0.8251537213604785,0.01660907900476795,0.18192204327139,0.06520134603958448,1.0,0.0,0.07500000000000001,0.04330127018922193,0.86928,0.015364717699977447,38.887,0.6712834721635849,mood_transition
mmr,mmr_0.2,12,12,0.17,0.786435424311716,0.0809627466458365,0.8995608446757326,0.0656033856104817,0.2147017484752548,0.05920912218498707,1.0,0.0,0.11666666666666667,0.055277079839256664,0.9260166666666667,0.04500997136437906,36.986,2.760065458160971,all
mmr,mmr_0.2,4,4,0.076,0.8590584056556576,0.021054694472212452,0.9358693668522178,0.03203055989614838,0.17680161433119151,0.026924992621357106,1.0,0.0,0.125,0.04330127018922193,0.9608775,0.019076719286869038,38.40625,0.2810563777963424,coherent_history
mmr,mmr_0.2,4,4,0.076,,,0.9487020492780678,0.020816013693054046,0.26225980567782015,0.03283011816615649,1.0,0.0,0.15000000000000002,0.05,0.948705,0.020820257563248346,33.18025,0.14027718096682876,mood_only
mmr,mmr_0.2,4,4,0.066,0.7138124429677742,0.046026489014399014,0.8141111178969123,0.020428578960822875,0.20504382541675278,0.070163552592937,1.0,0.0,0.07500000000000001,0.04330127018922193,0.8684675,0.015438376493336365,39.3715,0.750839696606405,mood_transition
mmr,mmr_0.4,12,12,0.174,0.7593057546128856,0.07640344638382943,0.8909056956721374,0.07564108983665431,0.26833514870788566,0.04415020764004949,1.0,0.0,0.13333333333333333,0.07453559924999299,0.9122675,0.0515372045427702,36.02333333333333,2.436742851066198,all
mmr,mmr_0.4,4,4,0.076,0.8289000981678989,0.024408308068023223,0.9379860514670408,0.027544718263992473,0.2340641101773631,0.034158524116393654,1.0,0.0,0.125,0.082915619758885,0.9497175,0.0265310171073406,37.552499999999995,0.3700908672204703,coherent_history
mmr,mmr_0.4,4,4,0.076,,,0.9397047745271342,0.02671785170580651,0.29948216166856767,0.036460353195792945,1.0,0.0,0.125,0.082915619758885,0.9397074999999999,0.02672012011106988,32.628,0.45161432661066,mood_only
